                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1749,                 1.6381,                 0.9981,                0.95565,                0.95353,                 0.9731,                0.64275,                  1.125,                 2.1593,                0.93259,              0.0033036,              0.0033036,              0.0033036
                      2,                 1.1895,                0.94313,                  1.005,                0.98044,                0.97277,                0.98519,                0.62657,                 1.1357,                 1.2233,                0.97979,              0.0066238,              0.0066238,              0.0066238
                      3,                 1.2074,                0.82977,                 1.0165,                0.96765,                0.96733,                0.98809,                0.62848,                 1.1684,                 1.1084,                 1.0117,              0.0099308,              0.0099308,              0.0099308
                      4,                 1.2027,                0.74216,                 1.0222,                0.96289,                0.97021,                 0.9861,                0.62897,                  1.125,                 1.0182,                0.99378,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1969,                0.66844,                 1.0278,                0.96715,                0.97734,                0.98899,                0.63379,                 1.1537,                0.99148,                  1.015,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1747,                 0.6226,                  1.018,                0.96368,                0.98553,                0.98258,                 0.6351,                 1.1444,                  0.871,                 1.0013,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.1772,                0.60785,                 1.0208,                0.97026,                0.97872,                0.98846,                0.64806,                 1.1195,                0.83796,                0.99255,               0.009901,               0.009901,               0.009901
                      8,                  1.199,                0.59542,                 1.0301,                0.98025,                0.97165,                0.98489,                0.64802,                 1.1309,                0.82577,                 1.0015,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.1681,                0.57962,                 1.0228,                0.97302,                0.98203,                0.98886,                0.67561,                 1.1074,                0.86973,                0.98827,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.1417,                0.56808,                 1.0164,                 0.9717,                0.97447,                0.98867,                0.63763,                 1.1876,                0.92361,                 1.0244,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.1687,                 0.5613,                 1.0161,                0.96831,                0.98213,                0.98665,                0.67127,                 1.1045,                0.81222,                0.98028,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.1532,                0.55735,                 1.0152,                0.96152,                0.98468,                0.98813,                0.66254,                 1.1382,                0.92504,                0.99756,               0.009802,               0.009802,               0.009802
                     13,                 1.1517,                0.55314,                 1.0224,                0.96696,                0.97153,                0.98604,                0.67191,                 1.1237,                0.81458,                0.99232,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.1643,                0.54666,                 1.0131,                0.97643,                0.97787,                0.98865,                0.66832,                 1.1002,                0.80556,                0.98807,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.1507,                0.54392,                 1.0164,                0.96171,                0.98336,                0.98539,                0.65914,                 1.1113,                0.89219,                0.99528,              0.0097426,              0.0097426,              0.0097426
